FeatureSet,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
TFIDF_Temel,NaiveBayes,0.9897844519358464,0.9986976744186047,0.9829701519868156,0.9907715023994094,0.9995395005620428
TFIDF_Temel,LinearSVM,0.9928491163550924,0.9928688974218322,0.9943233839956052,0.9935956084172004,0.999486021024228
TFIDF_Temel,RandomForest,0.991623250587394,0.989801493352759,0.9952389672221205,0.9925127830533236,0.9993421043724261
WordEmbedding_Temel,NaiveBayes_Gaussian,0.9207273470221677,0.9579667644183774,0.8972715619849845,0.926626323751891,0.9805582206003857
WordEmbedding_Temel,LinearSVM,0.9700684441720299,0.9822695035460993,0.9637429042299945,0.9729180146039376,0.9947516010859729
WordEmbedding_Temel,RandomForest,0.9915210951067525,0.9924908424908425,0.9923091008972715,0.9923999633733175,0.9992728221389038
TFIDF_Gelişmiş,NaiveBayes,0.9911124731841864,0.9987008166295471,0.9853506683757554,0.9919808277260577,0.9992946962853047
TFIDF_Gelişmiş,LinearSVM,0.9936663602002247,0.9926993977003102,0.9959714338033328,0.9943327239488117,0.9989475446968776
TFIDF_Gelişmiş,RandomForest,0.9910103177035448,0.9890770070999454,0.9948727339315143,0.9919664049662223,0.9995211804355604
WordEmbedding_Gelişmiş,NaiveBayes_Gaussian,0.9285933190315661,0.9035593220338983,0.9761948361106024,0.9384737259044098,0.9722700346026149
WordEmbedding_Gelişmiş,LinearSVM,0.9856982327101849,0.9907766094816455,0.9835195019227247,0.9871347178827421,0.9982548492909392
WordEmbedding_Gelişmiş,RandomForest,0.9925426499131679,0.9919649379108838,0.9946896172862113,0.9933254091615616,0.9994369417015497
